arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
446.4,48554,1,0,1,Lansdowne,1251 Lansdowne Dr,1251 Lansdowne Dr,49.290415,-122.815922,49.288481,-122.815101
440.4,28412,1,0,1,Robson,3155 Robson Dr,3155 Robson Dr,49.297703,-122.781775,49.299142,-122.781795
437.1,61939,1,0,1,Como Lake,2525 Como Lake Ave,2525 Como Lake Ave,49.263229,-122.823921,49.264247,-122.821246
436.1,344,1,0,1,Quarry,4900 Quarry Rd,4900 Quarry Rd,49.325871,-122.672385,49.322382,-122.669968
435.8,70940,1,0,1,Brunette,1046 Brunette Ave,1046 Brunette Ave,49.238189,-122.864973,49.236371,-122.863134
435.1,7208,1,0,1,Coast Meridian,1460 Coast Meridian Rd,1460 Coast Meridian Rd,49.302149,-122.755851,49.301719,-122.760443
432.6,146255,1,0,1,Pipeline,1795 Pipeline Rd,1795 Pipeline Rd,49.325303,-122.773875,49.325054,-122.772011
432.4,61561,24,20,5,Lougheed,1220 Seguin Dr,1361 Lougheed Hwy 103,49.233360,-122.858722,49.234977,-122.856666
430.4,8818,1,0,0,Deboville Slough,Deboville Slough,Deboville Slough,49.278548,-122.714271,49.279504,-122.709727
429.9,147207,1,0,1,Quarry,4301 Quarry Rd,4301 Quarry Rd,49.320261,-122.689729,49.319387,-122.692618
427.7,20126,1,0,1,Tanglewood,1561 Tanglewood Lane,1561 Tanglewood Lane,49.302373,-122.812469,49.303985,-122.812094
424.0,69939,1,0,1,Pipeline,1700 Pipeline Rd,1700 Pipeline Rd,49.318305,-122.772688,49.319063,-122.775367
423.7,43849,1,0,1,Cedar,4136 Cedar Dr,4136 Cedar Dr,49.288236,-122.730379,49.286704,-122.730334
422.8,69856,1,0,1,Pipeline,1540 Pipeline Rd,1540 Pipeline Rd,49.311045,-122.772716,49.310157,-122.775457
421.5,253,1,0,1,Quarry,4908 Quarry Rd,4908 Quarry Rd,49.325910,-122.672328,49.322651,-122.669754
421.5,39903,1,0,1,Pipeline,1570 Pipeline Rd,1570 Pipeline Rd,49.312171,-122.772148,49.312594,-122.775072
419.4,84725,2,0,2,Banting,800 Egmont Ave,820 Banting St,49.264373,-122.878799,49.265615,-122.876575
418.9,34316,1,0,1,Fremont,1165 Fremont St,1165 Fremont St,49.281111,-122.728122,49.281750,-122.731272
417.0,48401,141,121,21,Panorama,1465 Parkway Blvd,2944 Panorama Dr,49.296088,-122.807379,49.296971,-122.806839
413.5,19434,1,0,1,Guildford,2689 Guildford Way,2689 Guildford Way,49.283602,-122.811859,49.281773,-122.812182
411.6,81356,1,0,1,Quarry,4350 Quarry Rd,4350 Quarry Rd,49.321069,-122.688943,49.321130,-122.686097
408.7,67710,1,0,1,Pipeline,1750 Pipeline Rd,1750 Pipeline Rd,49.320356,-122.772700,49.320834,-122.775439
403.3,68321,1,0,0,Conifer,Conifer Dr,Conifer Dr,49.307847,-122.742650,49.309794,-122.743289
401.9,19262,1,0,1,Hazel,3349 Hazel Ave,3349 Hazel Ave,49.307445,-122.759192,49.309268,-122.759528
401.6,19258,1,0,1,Hazel,3353 Hazel Ave,3353 Hazel Ave,49.307445,-122.758519,49.309266,-122.758852
401.4,19270,1,0,1,Hazel,3337 Hazel Ave,3337 Hazel Ave,49.307455,-122.760544,49.309272,-122.760879
401.1,19255,1,0,1,Hazel,3361 Hazel Ave,3361 Hazel Ave,49.307445,-122.758519,49.309263,-122.758176
